Epoch,Train_Loss,Train_Reconstruction_Loss,Train_KL_Divergence_c,Train_KL_Divergence_z,Val_Loss,Val_Reconstruction_Loss,Val_KL_Divergence_c,Val_KL_Divergence_z
27,6.20057211,5.78737452,0.27622669,0.13697091,2.50781484,2.13594356,0.26916599,0.10270530
28,5.76637142,5.33876808,0.29759873,0.13000460,2.34060502,1.93190613,0.29465828,0.11404053
29,5.63631856,5.19671876,0.32383499,0.11576481,2.38053675,1.98731780,0.31034613,0.08287285
30,5.54588747,5.11500731,0.33488276,0.09599740,2.50705185,2.07349870,0.32445140,0.10910174
31,5.60529892,5.14363549,0.35433964,0.10732384,2.48403277,2.08568807,0.34097247,0.05737222
32,5.37150300,4.91207795,0.37103006,0.08839499,2.15373435,1.72119257,0.37246327,0.06007844
33,5.42267606,4.96219251,0.37963003,0.08085350,2.24798675,1.83631442,0.34996371,0.06170868
34,5.28967998,4.83106637,0.38108737,0.07752620,2.46614261,2.02701666,0.35749526,0.08163064
35,5.41991315,4.96015317,0.38582723,0.07393284,2.14829335,1.72303779,0.36415248,0.06110313
36,5.15133114,4.67539215,0.40373136,0.07220764,2.11343613,1.68093886,0.38518023,0.04731697
37,5.16653378,4.69276016,0.40537584,0.06839778,2.32750382,1.86413367,0.38196387,0.08140629
38,5.14439850,4.68774457,0.39563826,0.06101563,2.09056520,1.69000199,0.36200004,0.03856320
39,5.08355098,4.62473860,0.39677809,0.06203430,2.09722588,1.67379065,0.39023151,0.03320374
40,5.08318996,4.60330591,0.42488341,0.05500070,2.22657852,1.77073681,0.40600410,0.04983764
41,5.01856966,4.55332744,0.40508761,0.06015462,2.25388761,1.84755065,0.37811270,0.02822425
42,4.93398058,4.47728035,0.40613666,0.05056359,1.90668736,1.46152368,0.39691439,0.04824931
43,4.90213964,4.42672864,0.42686305,0.04854790,2.38327217,1.92568669,0.41543589,0.04214955
44,5.00275567,4.52097626,0.43257440,0.04920502,2.17193384,1.75773010,0.39682937,0.01737434
45,4.84133139,4.36891814,0.42407072,0.04834254,1.98057673,1.51065781,0.41946363,0.05045532
46,4.71159437,4.22725860,0.44363377,0.04070206,1.98778105,1.54290104,0.42159605,0.02328398
47,4.70205698,4.21010681,0.45323234,0.03871789,2.11205180,1.64307320,0.43765678,0.03132180
48,4.70886450,4.22504982,0.45059139,0.03322329,1.81619453,1.37851672,0.42220755,0.01547026
49,4.58375635,4.10716530,0.44320036,0.03339071,1.80802019,1.33727493,0.42380643,0.04693881
50,4.55974491,4.06884197,0.45146886,0.03943406,1.94311779,1.50469615,0.42485852,0.01356310
51,4.62860918,4.15439774,0.44160789,0.03260353,2.10131822,1.64387894,0.43761415,0.01982506
52,4.75595028,4.27555417,0.45157707,0.02881904,2.35915041,1.91721892,0.42351465,0.01841682
53,4.66150155,4.18301092,0.44901243,0.02947818,1.80275025,1.35098810,0.42776275,0.02399941
54,4.53710940,4.04647222,0.46033090,0.03030626,2.15374236,1.70853302,0.43484240,0.01036697
55,4.71364825,4.22592012,0.46110940,0.02661875,1.80565622,1.35461915,0.42963281,0.02140426
56,4.40487711,3.92445483,0.45198385,0.02843847,1.95036292,1.52052865,0.41846447,0.01136980
57,4.54012835,4.06150916,0.45255930,0.02605986,1.77707384,1.32917409,0.43630719,0.01159256
58,4.54577236,4.05084717,0.46525221,0.02967293,1.89879367,1.44137688,0.43984838,0.01756842
59,4.44248440,3.94538630,0.46853564,0.02856245,1.84181526,1.39724848,0.43439198,0.01017481
60,4.52253428,4.03903624,0.45730584,0.02619218,1.91730239,1.46827559,0.43814182,0.01088502
61,4.90006831,4.38129392,0.45631344,0.06246092,1.92228591,1.44258144,0.43102880,0.04867571
62,4.41598577,3.91604986,0.45851560,0.04142028,1.80273888,1.33228538,0.43940077,0.03105274
63,4.35587490,3.87304611,0.44970400,0.03312474,1.64314632,1.21447196,0.42253351,0.00614085
64,4.30358363,3.82044269,0.45785952,0.02528147,1.63163936,1.17568610,0.44510365,0.01084958
65,4.32735009,3.82708468,0.47270433,0.02756105,1.92593775,1.46398351,0.45581951,0.00613473
66,4.39754448,3.90027534,0.47323221,0.02403691,1.96330435,1.50677578,0.44126654,0.01526205
67,4.26139019,3.76845831,0.46824275,0.02468909,1.73634329,1.29112608,0.43963785,0.00557933
68,4.32941380,3.84035205,0.46456800,0.02449374,1.78559499,1.29541948,0.46267300,0.02750249
69,4.27646785,3.76645529,0.48505454,0.02495805,1.79970262,1.33396497,0.45835457,0.00738310
70,4.14390242,3.64018197,0.48096472,0.02275567,1.84272001,1.38464446,0.45108166,0.00699387
71,4.35096059,3.85320410,0.47572402,0.02203247,1.71817553,1.26010618,0.45303369,0.00503567
72,4.14925082,3.64458957,0.48319546,0.02146576,1.66491437,1.19433434,0.46566911,0.00491092
73,4.18690904,3.67255126,0.49118769,0.02317009,1.81837490,1.34380193,0.46570077,0.00887220
74,4.25998479,3.75423402,0.48172370,0.02402706,1.62893264,1.16691763,0.45119662,0.01081839
75,4.30644175,3.79039313,0.49105496,0.02499365,1.65058496,1.17127781,0.47548261,0.00382455
76,4.23615975,3.72236032,0.49031092,0.02348857,1.80589931,1.33901772,0.46046176,0.00641982
77,4.07964901,3.57404292,0.48306496,0.02254112,1.63172827,1.16847603,0.45786881,0.00538344
78,3.97123151,3.46720607,0.48136635,0.02265908,1.57728784,1.12333694,0.45021982,0.00373108
79,4.17057908,3.67132354,0.47682145,0.02243405,1.56688933,1.09337082,0.46752024,0.00599831
80,4.03692007,3.51532131,0.49881372,0.02278504,1.72361963,1.24745779,0.47118816,0.00497367
81,4.07576298,3.56517875,0.48889849,0.02168575,1.65298600,1.17813470,0.46701694,0.00783434
82,4.00247952,3.48748149,0.49022388,0.02477412,1.63173168,1.16555762,0.46176844,0.00440564
83,3.99524666,3.48017465,0.49233005,0.02274196,1.79345570,1.32330134,0.46559901,0.00455534
84,4.36803361,3.85602133,0.48737479,0.02463747,2.18377509,1.68805101,0.48931527,0.00640880
85,4.25191258,3.71862773,0.50917270,0.02411216,1.62996349,1.14960129,0.47719750,0.00316471
86,4.10352567,3.58476230,0.49532094,0.02344245,1.88237109,1.41894214,0.45986986,0.00355907
87,4.09827392,3.59479550,0.48139486,0.02208358,1.57543917,1.12854373,0.44372334,0.00317210
88,3.90648913,3.40722053,0.47641984,0.02284882,1.70785401,1.24317040,0.45537343,0.00931016
89,3.98176962,3.47464796,0.48414021,0.02298146,1.56483643,1.09287452,0.46567011,0.00629180
90,4.01107732,3.49898194,0.48927562,0.02281973,1.63292203,1.16125348,0.46786017,0.00380840
91,3.96251968,3.44077871,0.49887880,0.02286220,1.55144112,1.07356012,0.47279568,0.00508534
92,3.99065928,3.47311816,0.49468731,0.02285379,1.73597736,1.26229155,0.46558876,0.00809704
93,4.01940352,3.50061421,0.49507449,0.02371484,1.73210430,1.25444400,0.47105994,0.00660038
94,4.04888407,3.52787429,0.49839836,0.02261146,1.88100920,1.40052197,0.47717848,0.00330875
95,3.97550333,3.45247819,0.49884777,0.02417735,1.57685058,1.09266418,0.47456598,0.00962040
96,3.98375945,3.45531591,0.50432931,0.02411419,1.57700446,1.07203486,0.49594631,0.00902330
97,4.00127276,3.44215224,0.53337432,0.02574620,1.69390349,1.18029184,0.50602345,0.00758821
98,4.22538040,3.67760907,0.52261615,0.02515519,1.76941736,1.27812724,0.48650985,0.00478026
99,4.11420176,3.57463561,0.51646774,0.02309840,1.59713991,1.08982332,0.50364537,0.00367123
100,3.85702163,3.31293221,0.52174439,0.02234502,1.77877545,1.28342044,0.49053836,0.00481666
101,4.01328233,3.47137495,0.51901385,0.02289354,1.66921639,1.17755077,0.48708048,0.00458514
102,4.01868038,3.47244370,0.52229801,0.02393868,1.58620322,1.09306953,0.48943748,0.00369620
103,4.03718452,3.49620810,0.51755869,0.02341771,1.58412650,1.09186482,0.48860087,0.00366079
104,3.96127287,3.42175810,0.51705534,0.02245941,1.63488646,1.13294969,0.49760165,0.00433510
105,3.84305568,3.30192664,0.51859832,0.02253077,1.60596688,1.10205023,0.50015292,0.00376371
106,3.86269318,3.32656442,0.51441158,0.02171718,1.59036214,1.10056367,0.48391128,0.00588718
107,4.04545360,3.51796451,0.50445058,0.02303851,1.80651054,1.31647172,0.48495841,0.00508042
108,3.91146244,3.36685637,0.52096647,0.02363963,1.57520759,1.06980431,0.49836154,0.00704179
109,3.85395952,3.31463405,0.51586652,0.02345896,2.11101379,1.61789987,0.48731256,0.00580134
110,3.76347710,3.22421051,0.51574829,0.02351829,1.65781708,1.16244824,0.49085608,0.00451278
111,3.98921605,3.43541414,0.53084131,0.02296056,1.84454494,1.33643951,0.50280766,0.00529776
112,3.94366757,3.40326792,0.51701660,0.02338305,1.52525229,1.03642389,0.48514261,0.00368581
113,3.80069077,3.25660539,0.51930307,0.02478233,1.65811424,1.15215709,0.49623213,0.00972503
114,3.86587487,3.32704308,0.51405526,0.02477652,1.77612576,1.28091755,0.48617411,0.00903411
115,3.97128097,3.40482142,0.54070685,0.02575272,1.73287396,1.21075530,0.51683440,0.00528427
116,3.80102104,3.25589035,0.52210158,0.02302911,1.55590260,1.06863673,0.48232117,0.00494472
117,3.80883011,3.26899295,0.51702640,0.02281076,1.59966793,1.08678434,0.50899906,0.00388454
118,3.80176665,3.23839774,0.54023472,0.02313421,1.47331114,0.96169692,0.50754852,0.00406570
119,3.69831448,3.13488927,0.53874108,0.02468414,1.44783890,0.94424031,0.49999485,0.00360377
120,3.73938750,3.19644830,0.51981531,0.02312388,1.52786570,1.02168400,0.50289483,0.00328687
121,3.81190681,3.25494521,0.52983587,0.02712573,1.81208155,1.30295827,0.50478225,0.00434102
122,3.77994939,3.22944947,0.52665575,0.02384416,1.56909051,1.07285343,0.49319730,0.00303978
123,3.84813595,3.31460966,0.50935445,0.02417184,1.65714679,1.17612364,0.47657080,0.00445235
124,3.78663886,3.23026254,0.53231505,0.02406129,1.74011548,1.20748992,0.52633724,0.00628832
125,3.82406273,3.26351095,0.53605354,0.02449823,1.54407299,1.03898853,0.49185834,0.01322610
126,3.76158651,3.22330098,0.51333320,0.02495231,1.82072747,1.30764656,0.50839462,0.00468631
127,3.87352401,3.31997629,0.53036647,0.02318125,1.59425857,1.09983006,0.49112749,0.00330105
128,3.75942495,3.22226138,0.51390660,0.02325700,1.54764745,1.03021034,0.50418305,0.01325408
129,3.69792899,3.14588712,0.52720443,0.02483743,1.61221416,1.11137836,0.49598675,0.00484903
130,3.82533664,3.27457566,0.52618556,0.02457541,1.60867007,1.09853300,0.50642781,0.00370927
131,3.72946186,3.16106328,0.54446374,0.02393482,1.67985108,1.17122703,0.50058832,0.00803575
132,3.89333595,3.34111445,0.52810904,0.02411244,1.62770934,1.12331934,0.50065846,0.00373152
133,3.84157356,3.28417104,0.53089916,0.02650337,1.58981810,1.08173295,0.49796438,0.01012077
134,3.71668919,3.16433752,0.52584081,0.02651088,1.48358254,0.97379290,0.50592513,0.00386452
135,3.82726362,3.26463659,0.53626714,0.02635990,1.60807557,1.06712558,0.52104101,0.01990897
136,3.91305194,3.34066904,0.54669133,0.02569161,1.84622388,1.32407446,0.51839681,0.00375261
137,4.05367739,3.49048016,0.53947523,0.02372198,1.90690038,1.39667273,0.50452242,0.00570525
138,3.78746712,3.23976725,0.52497917,0.02272073,1.47843060,0.96992595,0.50512853,0.00337613
139,3.68976629,3.12760659,0.54024205,0.02191766,1.52338140,1.00986881,0.51013575,0.00337682
140,3.61998039,3.06833079,0.52991802,0.02173158,1.50855346,0.99528272,0.50948925,0.00378147
141,3.77380162,3.21257204,0.53832619,0.02290338,1.59424171,1.08765705,0.49896674,0.00761792
142,3.63896040,3.09281749,0.52360873,0.02253417,1.64795797,1.14138131,0.50243931,0.00413734
143,3.66964283,3.11659484,0.53030959,0.02273837,1.53370047,1.03087329,0.49953089,0.00329631
144,3.59364508,3.04168150,0.53079150,0.02117207,1.44945812,0.92118479,0.52513189,0.00314145
145,3.67706095,3.10183738,0.55231411,0.02290947,1.49443662,0.97303040,0.51595211,0.00545413
146,3.62259533,3.06610506,0.53212999,0.02436029,1.58775406,1.06441784,0.51676469,0.00657151
147,3.68317980,3.10374517,0.55508157,0.02435309,1.69455564,1.16436324,0.52030492,0.00988746
148,3.75481942,3.19568375,0.53521973,0.02391599,1.73479617,1.22623808,0.50547123,0.00308689
149,3.81314189,3.25597562,0.53542178,0.02174450,1.49508297,0.98482323,0.50691528,0.00334445
150,3.62844152,3.06827846,0.53886889,0.02129419,1.64428134,1.12160056,0.51824136,0.00443942
151,3.61579223,3.06709081,0.52705214,0.02164927,1.47869649,0.96912445,0.50512996,0.00444207
152,3.65103233,3.07882988,0.54818801,0.02401444,1.98151245,1.45582280,0.52134624,0.00434341
153,3.82488387,3.26059444,0.54139446,0.02289499,1.61304398,1.10410295,0.50513334,0.00380767
154,3.68838429,3.12677532,0.53974004,0.02186892,1.51840227,0.98959568,0.52237611,0.00643050
155,3.59979270,3.02710179,0.54855366,0.02413725,1.57774961,1.05944035,0.50877695,0.00953229
156,3.61601807,3.06355041,0.52842785,0.02403983,1.46407063,0.95946113,0.50101652,0.00359298
157,3.58282880,3.02740399,0.53245252,0.02297230,1.46215076,0.94418001,0.51276011,0.00521066
158,3.59905646,3.04390159,0.53249328,0.02266159,1.47431397,0.96205702,0.50629807,0.00595892
159,3.61447233,3.06190675,0.52940893,0.02315666,1.66044199,1.13591990,0.51926460,0.00525746
160,3.61300699,3.05009128,0.54073057,0.02218515,1.54599805,1.02406783,0.51622295,0.00570726
161,3.62254341,3.06090552,0.54067169,0.02096623,1.42655964,0.90642824,0.51640959,0.00372181
162,3.58790556,3.02198256,0.54458534,0.02133768,1.79849839,1.27716584,0.51671419,0.00461839
163,3.52374746,2.96390561,0.53693247,0.02290938,1.69097118,1.18679304,0.49495082,0.00922732
164,3.61095774,3.05734746,0.53129228,0.02231799,1.62812300,1.10873315,0.51516061,0.00422926
165,3.67118996,3.10044130,0.54896170,0.02178697,1.52773426,1.00655109,0.51677723,0.00440593
166,3.52738495,2.97858135,0.52653961,0.02226401,1.52367816,1.02225000,0.49759030,0.00383783
167,3.57781457,3.01773777,0.53778648,0.02229036,1.45289402,0.92041389,0.52871590,0.00376420
168,3.64338946,3.07080660,0.55098200,0.02160087,1.52142959,0.99849787,0.51938195,0.00354981
169,3.57738866,3.01701334,0.53842031,0.02195501,1.61764977,1.09689381,0.51608019,0.00467577
170,3.55775269,3.00251677,0.53376976,0.02146618,1.52420442,1.01952499,0.49969201,0.00498740
171,3.60254488,3.04089119,0.53989911,0.02175458,1.52967808,1.00210552,0.52372956,0.00384303
172,3.50809489,2.94321856,0.54296247,0.02191388,1.53174522,1.02852256,0.49976444,0.00345822
173,3.63396865,3.07016578,0.54140650,0.02239635,1.64444160,1.12721016,0.51304030,0.00419112
174,3.50187049,2.95055374,0.53057685,0.02073990,1.53586910,1.02032638,0.50850949,0.00703322
175,3.55561556,2.99515238,0.53695753,0.02350564,1.41089787,0.87092192,0.53108320,0.00889277
176,3.54145669,2.96843429,0.54771110,0.02531131,1.56470895,1.03595703,0.51944685,0.00930508
177,3.51099607,2.94131106,0.54515221,0.02453279,1.46133485,0.93901885,0.51759548,0.00472052
178,3.56215949,3.00301707,0.53765285,0.02148960,1.48177965,0.97697099,0.50081029,0.00399835
179,3.54309803,2.98520192,0.53650548,0.02139064,1.48002691,0.94336762,0.53194480,0.00471452
180,3.63764954,3.06927806,0.54630340,0.02206804,1.47607403,0.95571996,0.51638055,0.00397354
181,3.58536814,3.00561676,0.55847048,0.02128091,1.66301520,1.12321911,0.53472586,0.00507025
182,3.48856446,2.92505090,0.54150521,0.02200835,1.79832125,1.28080335,0.50555940,0.01195852
183,3.73161074,3.16599790,0.54342692,0.02218595,1.45553541,0.92013098,0.53186064,0.00354380
184,3.54652207,2.96990247,0.55517510,0.02144448,1.60942378,1.09249294,0.51033540,0.00659545
185,3.42945714,2.86775106,0.54045787,0.02124818,1.43718443,0.90642076,0.52476454,0.00599912
186,3.50629915,2.93718826,0.54744978,0.02166111,1.73025637,1.21439984,0.51079569,0.00506082
187,3.49484830,2.94016148,0.53475038,0.01993646,1.47496262,0.95605221,0.51072817,0.00818224
188,3.43977176,2.86378311,0.55293194,0.02305673,1.45219986,0.91872995,0.52852693,0.00494297
189,3.53455420,2.95461130,0.55692121,0.02302166,1.57504122,1.03547091,0.53470645,0.00486387
190,3.52353988,2.95364758,0.54860151,0.02129080,1.46140807,0.94237206,0.51419330,0.00484272
191,3.53295006,2.96228616,0.54963287,0.02103102,1.45768974,0.92891331,0.52471094,0.00406549
192,3.40780182,2.84240185,0.54387147,0.02152850,1.47980621,0.96160109,0.51358747,0.00461763
193,3.46778624,2.89668288,0.55052596,0.02057741,1.42763021,0.90062691,0.52256527,0.00443806
194,3.45449824,2.90129617,0.52888283,0.02431925,1.58343825,1.07334538,0.50506887,0.00502401
195,3.49966822,2.93126144,0.54634750,0.02205925,1.57386777,1.01498495,0.55155940,0.00732340
196,3.61934576,3.04482546,0.55414495,0.02037533,1.53261776,1.02393687,0.50372872,0.00495215
197,3.75346645,3.20878668,0.52292259,0.02175718,1.83253300,1.31841037,0.50521197,0.00891065
198,3.49908128,2.93181559,0.54683496,0.02043077,1.56659207,1.02776674,0.53425918,0.00456613
199,3.59694532,3.01964947,0.55697937,0.02031650,1.55806377,1.05381711,0.49920692,0.00503974
200,3.49327236,2.93155843,0.54254699,0.01916694,1.45360112,0.93212571,0.51699805,0.00447738
